event,outcome,entrant0,entrant1,entrant2,entrant3,entrant4,entrant5,entrant6,entrant7,entrant8,entrant9,entrant10,entrant11,entrant12,entrant13,entrant14,entrant15,entrant16,entrant17,entrant18,entrant19,entrant20,entrant21,entrant22,entrant23,entrant24,entrant25,entrant26,entrant27,entrant28,entrant29,entrant30,entrant31,entrant32,entrant33,entrant34,entrant35,entrant36,entrant37,entrant38,entrant39,entrant40,entrant41,entrant42,entrant43
dems_win_PRES,0.0,0.54,0.75,0.5,0.6,0.725,0.6,0.54,1.0,0.45,0.63,0.6,0.78,0.6,0.55,0.6,0.7,1.0,0.54,0.45,0.0,1.0,0.6,0.43,0.35,0.55,0.6,1.0,0.45,0.38,0.0,1.0,1.0,0.58,1.0,0.75,0.66,0.65,0.7,1.0,0.8,0.52,0.4811,0.6,0.6
dems_win_SENATE,0.0,0.48,0.1,0.34,0.35,0.375,0.2,0.34,0.4,0.2,0.12,0.45,0.45,0.33,0.2,0.4,0.4,0.0,0.23,0.51,0.0,1.0,0.4,0.19,0.2,0.1,0.1,0.0,0.1,0.49,0.16,0.8,0.25,0.2,0.0,0.1,0.12,0.4,0.53,0.6,0.4,0.3,0.1,0.8,0.2
dems_win_HOUSE,0.0,0.52,0.7,0.57,0.65,0.725,0.35,0.49,1.0,0.45,0.49,0.6,0.65,0.52,0.6,0.7,0.6,1.0,0.62,0.4,0.0,1.0,0.6,0.45,0.45,0.65,0.3,1.0,0.6,0.48,0.49,1.0,0.72,0.55,1.0,1.0,0.88,0.7,0.58,0.58,0.75,0.45,0.5,0.1,0.7
dems_win_POPULAR_VOTE,0.0,0.9,0.9,0.75,0.75,0.875,0.95,0.89,1.0,0.7,0.95,0.8,1.0,0.8,0.7,1.0,1.0,1.0,0.91,0.9,0.0,1.0,0.85,0.65,0.49,0.9,0.8,1.0,0.9,0.63,0.71,1.0,1.0,0.8,1.0,1.0,0.99,0.9,0.83,1.0,0.9,0.95,0.7,0.9,0.9
dems_win_PRES_AK,0.0,0.4,0.01,0.1,0.2,0.125,0.02,0.08,0.0,0.0,0.09,0.2,0.37,0.03,0.1,0.0,0.18,0.0,0.001,0.0,0.0,0.0,0.2,0.6,0.01,0.05,0.6,0.0,1.0,0.04,0.0,0.0,0.0,0.05,0.0,0.8,0.3,0.15,0.15,0.66,0.45,0.1,0.0284,0.1,0.05
dems_win_PRES_AZ,0.0,0.53,0.4,0.4,0.4,0.566,0.7,0.42,0.5,0.27,0.72,0.3,0.62,0.45,0.4,0.5,0.47,1.0,0.1,0.45,0.0,1.0,0.6,0.28,0.34,0.4,0.4,1.0,0.35,0.24,0.28,0.45,0.3,0.35,0.7,0.25,0.4,0.55,0.28,0.7,0.55,0.4,0.1856,0.6,0.4
dems_win_PRES_FL,0.0,0.48,0.01,0.2,0.25,0.125,0.3,0.28,0.0,0.08,0.12,0.3,0.4,0.13,0.15,0.0,0.26,0.0,0.03,0.3,0.0,0.0,0.15,0.8,0.04,0.1,0.4,0.0,0.1,0.04,0.0,0.0,0.0,0.15,0.0,0.15,0.19,0.2,0.12,0.5,0.25,0.3,0.0538,0.1,0.02
dems_win_PRES_GA,0.0,0.49,0.3,0.42,0.45,0.489,0.65,0.44,0.5,0.33,0.48,0.44,0.5,0.4,0.45,0.4,0.45,1.0,0.55,0.4,0.0,1.0,0.55,0.4,0.37,0.45,0.4,1.0,0.4,0.28,0.18,0.45,0.7,0.45,0.0,0.35,0.43,0.35,0.34,0.65,0.55,0.45,0.3313,0.6,0.4
dems_win_PRES_IA,0.0,0.48,0.01,0.08,0.1,0.1,0.2,0.12,0.0,0.0,0.08,0.4,0.18,0.05,0.08,0.3,0.1,0.0,0.005,0.0,0.0,0.0,0.1,0.8,0.01,0.15,0.2,0.0,1.0,0.04,0.0,0.0,0.0,0.1,0.4,0.85,0.12,0.2,0.55,0.6,0.35,0.49,0.1024,0.7,0.1
dems_win_PRES_ME,1.0,0.51,0.99,0.89,0.9,0.9,0.6,0.92,1.0,0.9,0.92,0.7,1.0,0.95,0.88,1.0,1.0,1.0,0.99,0.8,0.5,1.0,0.85,0.1,0.91,0.75,0.98,0.0,0.9,0.05,0.94,0.1,1.0,0.85,1.0,0.75,0.67,0.9,0.87,0.8,0.8,1.0,0.9294,0.4,0.99
