question,prob
dems_win_PRES,0.641
dems_win_SENATE,0.306
dems_win_HOUSE,0.624
dems_win_POPULAR_VOTE,0.861
dems_win_PRES_AK,0.176
dems_win_PRES_AZ,0.453
dems_win_PRES_FL,0.156
dems_win_PRES_GA,0.452
dems_win_PRES_IA,0.232
dems_win_PRES_ME,0.787
dems_win_PRES_MI,0.694
dems_win_PRES_MN,0.869
dems_win_PRES_NE2,0.805
dems_win_PRES_NV,0.523
dems_win_PRES_NH,0.835
dems_win_PRES_NM,0.878
dems_win_PRES_NC,0.472
dems_win_PRES_OH,0.164
dems_win_PRES_PA,0.637
dems_win_PRES_TX,0.225
dems_win_PRES_VA,0.861
dems_win_PRES_WI,0.643
dems_win_SENATE_AZ,0.794
dems_win_SENATE_FL,0.198
dems_win_SENATE_MD,0.907
dems_win_SENATE_MI,0.809
dems_win_SENATE_MT,0.274
dems_win_SENATE_NV,0.754
dems_win_SENATE_NM,0.871
dems_win_SENATE_OH,0.536
dems_win_SENATE_PA,0.779
dems_win_SENATE_TX,0.27
dems_win_SENATE_WI,0.7
dems_win_GOV_MT,0.17
dems_win_GOV_NH,0.556
dems_win_GOV_VT,0.367
dems_win_HOUSE_AK01,0.595
dems_win_HOUSE_AZ01,0.468
dems_win_HOUSE_AZ06,0.459
dems_win_HOUSE_CA13,0.654
dems_win_HOUSE_CA22,0.625
dems_win_HOUSE_CA41,0.467
dems_win_HOUSE_IA01,0.439
dems_win_HOUSE_IA03,0.439
dems_win_HOUSE_NY04,0.743
dems_win_HOUSE_NY17,0.568
dems_win_HOUSE_NY19,0.627
dems_win_HOUSE_OR05,0.617
dems_win_HOUSE_PA10,0.509
dems_win_HOUSE_WA03,0.648
