question,prob
dems_win_PRES,0.65
dems_win_SENATE,0.32
dems_win_HOUSE,0.75
dems_win_POPULAR_VOTE,0.85
dems_win_PRES_AK,0.1
dems_win_PRES_AZ,0.37
dems_win_PRES_FL,0.15
dems_win_PRES_GA,0.45
dems_win_PRES_IA,0.27
dems_win_PRES_ME,0.95
dems_win_PRES_MI,0.75
dems_win_PRES_MN,0.95
dems_win_PRES_NE2,0.9
dems_win_PRES_NV,0.6
dems_win_PRES_NH,0.9
dems_win_PRES_NM,0.95
dems_win_PRES_NC,0.55
dems_win_PRES_OH,0.1
dems_win_PRES_PA,0.65
dems_win_PRES_TX,0.15
dems_win_PRES_VA,0.95
dems_win_PRES_WI,0.7
dems_win_SENATE_AZ,0.75
dems_win_SENATE_FL,0.2
dems_win_SENATE_MD,0.95
dems_win_SENATE_MI,0.75
dems_win_SENATE_MT,0.2
dems_win_SENATE_NV,0.85
dems_win_SENATE_NM,0.98
dems_win_SENATE_OH,0.57
dems_win_SENATE_PA,0.82
dems_win_SENATE_TX,0.33
dems_win_SENATE_WI,0.76
dems_win_GOV_MT,0.15
dems_win_GOV_NH,0.6
dems_win_GOV_VT,0.05
dems_win_HOUSE_AK01,0.55
dems_win_HOUSE_AZ01,0.5
dems_win_HOUSE_AZ06,0.33
dems_win_HOUSE_CA13,0.65
dems_win_HOUSE_CA22,0.55
dems_win_HOUSE_CA41,0.45
dems_win_HOUSE_IA01,0.5
dems_win_HOUSE_IA03,0.5
dems_win_HOUSE_NY04,0.85
dems_win_HOUSE_NY17,0.45
dems_win_HOUSE_NY19,0.75
dems_win_HOUSE_OR05,0.4
dems_win_HOUSE_PA10,0.45
dems_win_HOUSE_WA03,0.5
