question,prob
dems_win_PRES,0.469999999
dems_win_SENATE,-1
dems_win_HOUSE,-1
dems_win_POPULAR_VOTE,0.742200017
dems_win_PRES_AK,0.221324995
dems_win_PRES_AZ,0.265650004
dems_win_PRES_FL,0.068099998
dems_win_PRES_GA,0.376249999
dems_win_PRES_IA,0.165649995
dems_win_PRES_ME,0.867600024
dems_win_PRES_MI,0.593074977
dems_win_PRES_MN,0.896974981
dems_win_PRES_NE2,0.925199986
dems_win_PRES_NV,0.464174986
dems_win_PRES_NH,0.73287499
dems_win_PRES_NM,0.884975016
dems_win_PRES_NC,0.371724993
dems_win_PRES_OH,0.046925001
dems_win_PRES_PA,0.453375012
dems_win_PRES_TX,0.047425002
dems_win_PRES_VA,0.940225005
dems_win_PRES_WI,0.566775024
dems_win_SENATE_AZ,-1
dems_win_SENATE_FL,-1
dems_win_SENATE_MD,-1
dems_win_SENATE_MI,-1
dems_win_SENATE_MT,-1
dems_win_SENATE_NV,-1
dems_win_SENATE_NM,-1
dems_win_SENATE_OH,-1
dems_win_SENATE_PA,-1
dems_win_SENATE_TX,-1
dems_win_SENATE_WI,-1
dems_win_GOV_MT,-1
dems_win_GOV_NH,-1
dems_win_GOV_VT,-1
dems_win_HOUSE_AK01,-1
dems_win_HOUSE_AZ01,-1
dems_win_HOUSE_AZ06,-1
dems_win_HOUSE_CA13,-1
dems_win_HOUSE_CA22,-1
dems_win_HOUSE_CA41,-1
dems_win_HOUSE_IA01,-1
dems_win_HOUSE_IA03,-1
dems_win_HOUSE_NY04,-1
dems_win_HOUSE_NY17,-1
dems_win_HOUSE_NY19,-1
dems_win_HOUSE_OR05,-1
dems_win_HOUSE_PA10,-1
dems_win_HOUSE_WA03,-1
