question,prob
dems_win_PRES,0
dems_win_SENATE,0
dems_win_HOUSE,0
dems_win_POPULAR_VOTE,0
dems_win_PRES_AK,0
dems_win_PRES_AZ,0
dems_win_PRES_FL,0
dems_win_PRES_GA,0
dems_win_PRES_IA,0
dems_win_PRES_ME,1
dems_win_PRES_MI,0
dems_win_PRES_MN,1
dems_win_PRES_NE2,1
dems_win_PRES_NV,0
dems_win_PRES_NH,1
dems_win_PRES_NM,1
dems_win_PRES_NC,0
dems_win_PRES_OH,0
dems_win_PRES_PA,0
dems_win_PRES_TX,0
dems_win_PRES_VA,1
dems_win_PRES_WI,0
dems_win_SENATE_AZ,1
dems_win_SENATE_FL,0
dems_win_SENATE_MD,1
dems_win_SENATE_MI,1
dems_win_SENATE_MT,0
dems_win_SENATE_NV,1
dems_win_SENATE_NM,1
dems_win_SENATE_OH,0
dems_win_SENATE_PA,0
dems_win_SENATE_TX,0
dems_win_SENATE_WI,1
dems_win_GOV_MT,0
dems_win_GOV_NH,0
dems_win_GOV_VT,0
dems_win_HOUSE_AK01,0
dems_win_HOUSE_AZ01,0
dems_win_HOUSE_AZ06,0
dems_win_HOUSE_CA13,1
dems_win_HOUSE_CA22,0
dems_win_HOUSE_CA41,0
dems_win_HOUSE_IA01,0
dems_win_HOUSE_IA03,0
dems_win_HOUSE_NY04,1
dems_win_HOUSE_NY17,0
dems_win_HOUSE_NY19,1
dems_win_HOUSE_OR05,1
dems_win_HOUSE_PA10,0
dems_win_HOUSE_WA03,1
