datetime,polymarket,manifold
7/29/23 0:00,17,17
7/29/23 1:00,18,17
7/29/23 2:00,18,17
7/29/23 3:00,18,15
7/29/23 4:00,18,16
7/29/23 5:00,18,15
7/29/23 6:00,17,14
7/29/23 7:00,17,13
7/29/23 8:00,17,14
7/29/23 9:00,17,12
7/29/23 10:00,17,14
7/29/23 11:00,17,17
7/29/23 12:00,17,15
7/29/23 13:00,18,13
7/29/23 14:00,37,14
7/29/23 15:00,22,16
7/29/23 16:00,22,16
7/29/23 17:00,22,17
7/29/23 18:00,24,16
7/29/23 19:00,23,18
7/29/23 20:00,21,18
7/29/23 21:00,21,19
7/29/23 22:00,20,19
7/29/23 23:00,20,18
7/30/23 0:00,20,17
7/30/23 1:00,20,17
7/30/23 2:00,20,16
7/30/23 3:00,20,17
7/30/23 4:00,20,15
7/30/23 5:00,20,15
7/30/23 6:00,20,18
7/30/23 7:00,20,16
7/30/23 8:00,20,17
7/30/23 9:00,20,18
7/30/23 10:00,19,17
7/30/23 11:00,19,20
7/30/23 12:00,20,19
7/30/23 13:00,19,19
7/30/23 14:00,19,19
7/30/23 15:00,19,20
7/30/23 16:00,19,20
7/30/23 17:00,19,19
7/30/23 18:00,19,19
7/30/23 19:00,20,18
7/30/23 20:00,20,20
7/30/23 21:00,32,20
7/30/23 22:00,23,20
7/30/23 23:00,24,21
7/31/23 0:00,23,22
7/31/23 1:00,25,22
7/31/23 2:00,25,20
7/31/23 3:00,26,22
7/31/23 4:00,26,22
7/31/23 5:00,26,22
7/31/23 6:00,27,23
7/31/23 7:00,27,25
7/31/23 8:00,26,25
7/31/23 9:00,26,25
7/31/23 10:00,26,28
7/31/23 11:00,26,27
7/31/23 12:00,25,30
7/31/23 13:00,25,25
7/31/23 14:00,26,27
7/31/23 15:00,24,26
7/31/23 16:00,24,25
7/31/23 17:00,25,25
7/31/23 18:00,24,27
7/31/23 19:00,24,26
7/31/23 20:00,24,24
7/31/23 21:00,24,27
7/31/23 22:00,23,27
7/31/23 23:00,24,29
8/1/23 0:00,35,42
8/1/23 1:00,32,54
8/1/23 2:00,38,57
8/1/23 3:00,37,49
8/1/23 4:00,46,52
8/1/23 5:00,52,46
8/1/23 6:00,56,54
8/1/23 7:00,55,54
8/1/23 8:00,54,53
8/1/23 9:00,48,48
8/1/23 10:00,44,42
8/1/23 11:00,38,41
8/1/23 12:00,35,33
8/1/23 13:00,34,33
8/1/23 14:00,38,33
8/1/23 15:00,38,35
8/1/23 16:00,41,36
8/1/23 17:00,40,42
8/1/23 18:00,39,36
8/1/23 19:00,34,34
8/1/23 20:00,33,35
8/1/23 21:00,34,37
8/1/23 22:00,34,38
8/1/23 23:00,35,36
8/2/23 0:00,34,37
8/2/23 1:00,33,37
8/2/23 2:00,34,38
8/2/23 3:00,36,37
8/2/23 4:00,37,37
8/2/23 5:00,37,35
8/2/23 6:00,39,38
8/2/23 7:00,39,34
8/2/23 8:00,41,34
8/2/23 9:00,41,35
8/2/23 10:00,36,37
8/2/23 11:00,40,35
8/2/23 12:00,35,37
8/2/23 13:00,32,36
8/2/23 14:00,32,32
8/2/23 15:00,32,34
8/2/23 16:00,34,35
8/2/23 17:00,34,35
8/2/23 18:00,30,34
8/2/23 19:00,31,36
8/2/23 20:00,32,35
8/2/23 21:00,31,31
8/2/23 22:00,31,32
8/2/23 23:00,31,38
8/3/23 0:00,30,39
8/3/23 1:00,23,36
8/3/23 2:00,26,33
8/3/23 3:00,26,36
8/3/23 4:00,24,33
8/3/23 5:00,25,33
8/3/23 6:00,25,32
8/3/23 7:00,26,30
8/3/23 8:00,25,30
8/3/23 9:00,25,28
8/3/23 10:00,25,29
8/3/23 11:00,23,30
8/3/23 12:00,23,32
8/3/23 13:00,24,32
8/3/23 14:00,25,32
8/3/23 15:00,24,30
8/3/23 16:00,23,33
8/3/23 17:00,24,34
8/3/23 18:00,27,35
8/3/23 19:00,28,32
8/3/23 20:00,27,34
